id,rank,value,grade,category,year,type
Albuquerque,13,B+,B+,1,2012,grade
Albuquerque,30,D+,D+,2,2012,grade
Albuquerque,38,F,F,3,2012,grade
Albuquerque,34,D,D,6,2012,grade
Albuquerque,5,A,A,7,2012,grade
Albuquerque,38,F,F,8,2012,grade
Albuquerque,39,F,F,9,2012,grade
Albuquerque,40,F,F,10,2012,grade
Albuquerque,17,B,B,11,2012,grade
Albuquerque,31,D+,D+,12,2012,grade
Atlanta,5,A,A,1,2012,grade
Atlanta,6,A,A,2,2012,grade
Atlanta,14,B+,B+,3,2012,grade
Atlanta,16,B,B,6,2012,grade
Atlanta,16,B,B,7,2012,grade
Atlanta,12,B+,B+,8,2012,grade
Atlanta,15,B,B,9,2012,grade
Atlanta,14,B+,B+,10,2012,grade
Atlanta,25,C,C,11,2012,grade
Atlanta,19,B-,B-,12,2012,grade
Austin,4,A+,A+,1,2012,grade
Austin,4,A+,A+,2,2012,grade
Austin,19,B-,B-,3,2012,grade
Austin,5,A,A,6,2012,grade
Austin,4,A+,A+,7,2012,grade
Austin,2,A+,A+,8,2012,grade
Austin,3,A+,A+,9,2012,grade
Austin,6,A,A,10,2012,grade
Austin,8,A,A,11,2012,grade
Austin,4,A+,A+,12,2012,grade
Baltimore,34,D,D,1,2012,grade
Baltimore,28,C-,C-,2,2012,grade
Baltimore,16,B,B,3,2012,grade
Baltimore,33,D,D,6,2012,grade
Baltimore,31,D+,D+,7,2012,grade
Baltimore,25,C,C,8,2012,grade
Baltimore,27,C-,C-,9,2012,grade
Baltimore,32,D+,D+,10,2012,grade
Baltimore,36,D,D,11,2012,grade
Baltimore,38,F,F,12,2012,grade
Boston,35,D,D,1,2012,grade
Boston,34,D,D,2,2012,grade
Boston,27,C-,C-,3,2012,grade
Boston,35,D,D,6,2012,grade
Boston,34,D,D,7,2012,grade
Boston,33,D,D,8,2012,grade
Boston,32,D+,D+,9,2012,grade
Boston,33,D,D,10,2012,grade
Boston,33,D,D,11,2012,grade
Boston,36,D,D,12,2012,grade
Charlotte,11,A-,A-,1,2012,grade
Charlotte,16,B,B,2,2012,grade
Charlotte,2,A+,A+,3,2012,grade
Charlotte,21,C+,C+,6,2012,grade
Charlotte,14,B+,B+,7,2012,grade
Charlotte,32,D+,D+,8,2012,grade
Charlotte,29,C-,C-,9,2012,grade
Charlotte,29,C-,C-,10,2012,grade
Charlotte,9,A-,A-,11,2012,grade
Charlotte,16,B,B,12,2012,grade
Chicago,33,D,D,1,2012,grade
Chicago,26,C,C,2,2012,grade
Chicago,17,B,B,3,2012,grade
Chicago,31,D+,D+,6,2012,grade
Chicago,30,D+,D+,7,2012,grade
Chicago,24,C,C,8,2012,grade
Chicago,31,D+,D+,9,2012,grade
Chicago,34,D,D,10,2012,grade
Chicago,27,C-,C-,11,2012,grade
Chicago,26,C,C,12,2012,grade
Cleveland,26,C,C,1,2012,grade
Cleveland,30,D+,D+,2,2012,grade
Cleveland,24,C,C,3,2012,grade
Cleveland,27,C-,C-,6,2012,grade
Cleveland,33,D,D,7,2012,grade
Cleveland,23,C+,C+,8,2012,grade
Cleveland,21,C+,C+,9,2012,grade
Cleveland,26,C,C,10,2012,grade
Cleveland,29,C-,C-,11,2012,grade
Cleveland,27,C-,C-,12,2012,grade
Colorado Springs,6,A,A,1,2012,grade
Colorado Springs,3,A+,A+,2,2012,grade
Colorado Springs,37,F,F,3,2012,grade
Colorado Springs,4,A+,A+,6,2012,grade
Colorado Springs,3,A+,A+,7,2012,grade
Colorado Springs,6,A,A,8,2012,grade
Colorado Springs,7,A,A,9,2012,grade
Colorado Springs,10,A-,A-,10,2012,grade
Colorado Springs,1,A+,A+,11,2012,grade
Colorado Springs,11,A-,A-,12,2012,grade
Columbus,23,C+,C+,1,2012,grade
Columbus,25,C,C,2,2012,grade
Columbus,18,B-,B-,3,2012,grade
Columbus,22,C+,C+,6,2012,grade
Columbus,18,B-,B-,7,2012,grade
Columbus,11,A-,A-,8,2012,grade
Columbus,35,D,D,9,2012,grade
Columbus,23,C+,C+,10,2012,grade
Columbus,16,B,B,11,2012,grade
Columbus,28,C-,C-,12,2012,grade
Dallas,2,A+,A+,1,2012,grade
Dallas,2,A+,A+,2,2012,grade
Dallas,12,B+,B+,3,2012,grade
Dallas,3,A+,A+,6,2012,grade
Dallas,6,A,A,7,2012,grade
Dallas,4,A+,A+,8,2012,grade
Dallas,4,A+,A+,9,2012,grade
Dallas,4,A+,A+,10,2012,grade
Dallas,5,A,A,11,2012,grade
Dallas,5,A,A,12,2012,grade
Fort Worth,2,A+,A+,1,2012,grade
Fort Worth,2,A+,A+,2,2012,grade
Fort Worth,12,B+,B+,3,2012,grade
Fort Worth,3,A+,A+,6,2012,grade
Fort Worth,6,A,A,7,2012,grade
Fort Worth,4,A+,A+,8,2012,grade
Fort Worth,4,A+,A+,9,2012,grade
Fort Worth,4,A+,A+,10,2012,grade
Fort Worth,5,A,A,11,2012,grade
Fort Worth,5,A,A,12,2012,grade
Denver,14,B+,B+,1,2012,grade
Denver,17,B,B,2,2012,grade
Denver,7,A,A,3,2012,grade
Denver,11,A-,A-,6,2012,grade
Denver,19,B-,B-,7,2012,grade
Denver,10,A-,A-,8,2012,grade
Denver,12,B+,B+,9,2012,grade
Denver,5,A,A,10,2012,grade
